epoch,train_accuracy,train_loss,test_accuracy,test_loss,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
1,58.946,1.1854150816607658,70.61,0.8317066446135316,76.4,86.1,63.5,58.4,62.4,54.0,81.8,72.6,80.4,70.5
2,76.074,0.697103448231202,75.19,0.7124271573899668,75.3,83.0,66.60000000000001,60.5,72.0,61.9,84.3,79.7,86.6,82.0
3,81.748,0.5297110013644714,77.37,0.6638922464998462,81.6,81.89999999999999,69.0,57.9,70.89999999999999,71.0,86.2,84.3,85.5,85.39999999999999
4,85.874,0.4126898594905653,78.16,0.6545484944989409,82.39999999999999,88.1,71.1,59.4,78.60000000000001,70.5,81.2,79.80000000000001,86.1,84.39999999999999
5,89.16,0.3223322792278836,78.51,0.6643460479718221,78.60000000000001,87.5,72.2,61.6,78.60000000000001,68.10000000000001,84.8,81.39999999999999,88.8,83.5
6,92.224,0.2392284727043203,78.49,0.706572309325013,79.0,88.0,71.6,62.6,77.7,66.9,85.2,83.5,88.5,81.89999999999999
7,94.382,0.17865503434558658,78.65,0.7124874984161763,82.8,86.7,71.89999999999999,62.5,73.1,66.5,87.8,82.69999999999999,87.3,85.2
8,96.098,0.13047379378200796,78.9,0.7561956757231604,82.39999999999999,87.0,74.0,62.4,75.0,70.39999999999999,86.0,80.30000000000001,87.5,84.0
9,97.286,0.09569453309907024,79.42,0.7805005519450465,81.69999999999999,87.9,72.89999999999999,63.800000000000004,80.30000000000001,69.0,84.7,83.1,88.3,82.5
10,98.12,0.07146050016421948,79.2,0.8127480790584902,82.1,86.2,74.7,62.2,75.3,68.89999999999999,86.3,81.69999999999999,88.0,86.6
11,98.658,0.05475396942347288,79.28,0.822586778221251,85.7,88.6,70.3,59.9,77.3,70.1,87.3,83.1,87.2,83.3
12,98.97,0.044318944477783444,79.08,0.8572496537920795,81.10000000000001,86.3,71.6,61.1,78.8,68.60000000000001,86.7,81.69999999999999,88.9,86.0
13,99.204,0.036863334238757865,79.29,0.856689444825619,84.1,86.2,70.19999999999999,61.9,78.7,70.0,85.6,82.89999999999999,88.0,85.3
14,99.33,0.030311557833495956,79.6,0.8789079973969278,80.5,89.5,70.5,61.4,79.2,70.89999999999999,86.4,83.6,88.7,85.3
15,99.446,0.027041144374891392,79.42,0.8899992983552474,83.6,87.5,72.8,61.5,77.4,69.3,87.8,81.10000000000001,89.3,83.89999999999999
16,99.528,0.023131054609327975,79.8,0.8803440272053585,83.8,87.1,71.39999999999999,62.7,80.10000000000001,71.3,83.6,84.5,88.8,84.7
17,99.572,0.021470873573761616,79.65,0.8878184804999376,83.0,90.0,70.5,61.3,76.7,73.0,86.6,83.0,87.8,84.6
18,99.604,0.019487468909253094,79.71,0.9165828446798687,84.1,86.6,69.8,61.4,75.9,69.8,88.6,85.5,88.7,86.7
19,99.686,0.017181149829188575,79.87,0.9197420802297471,82.5,88.1,72.5,63.3,80.60000000000001,68.89999999999999,86.8,83.3,89.0,83.7
20,99.692,0.016324565674433165,79.53,0.9256618641599824,85.1,87.1,72.3,64.0,76.5,70.5,85.1,82.39999999999999,87.6,84.7
21,99.764,0.013053834055433684,79.84,0.9164190006595624,82.3,88.4,73.2,63.0,79.9,69.19999999999999,85.3,83.7,88.4,85.0
22,99.804,0.011852937808874852,79.81,0.9430977973756911,83.89999999999999,88.0,73.0,63.5,78.4,69.69999999999999,86.7,81.6,89.2,84.1
23,99.78,0.012046542112141505,79.67,0.9432082545908191,82.0,86.8,74.4,61.8,75.8,71.89999999999999,87.0,81.89999999999999,88.5,86.6
24,99.8,0.011210478989340727,79.92,0.949437872518467,84.1,87.4,73.1,61.0,77.60000000000001,69.39999999999999,87.2,83.7,89.60000000000001,86.1
25,99.798,0.011016869053478017,80.07,0.9690329277817207,83.1,87.1,72.39999999999999,64.1,78.60000000000001,68.7,85.9,83.6,90.10000000000001,87.1
26,99.806,0.010494567302312902,79.85,0.958854358030271,83.6,87.5,72.6,61.8,77.8,71.0,86.2,82.69999999999999,90.10000000000001,85.2
27,99.872,0.008617885096374985,79.99,0.9697640757017498,84.6,86.3,72.6,64.4,76.5,69.5,85.8,83.1,89.0,88.1
28,99.852,0.008598932764454819,79.91,0.9884079521215414,84.0,87.7,72.89999999999999,63.1,78.5,70.7,86.2,83.8,87.5,84.7
29,99.81,0.009752605172931729,79.9,0.9777991251100467,82.6,89.1,71.2,61.5,75.7,72.6,88.3,83.7,88.0,86.3
30,99.824,0.009674627619409633,79.8,0.9728053464919706,84.89999999999999,87.2,71.1,61.8,74.9,72.5,85.3,84.5,89.1,86.7
